PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
3297,2150575831,-164.0367737,39.90402985,-137.3433685,-19.97305107,4.939908504,-12.95102215,123.9873886,261.3091736,-112.374649
3298,2150592498,-162.3424377,37.44272232,-136.3600006,-16.93449974,9.418110847,-4.593751431,66.11855316,128.8321533,-84.80852509
3299,2150609165,-161.2798004,35.60208511,-135.0293732,-14.53206062,7.148239613,1.91448915,17.60064316,85.6998291,-93.43735504
3300,2150625832,-160.5348358,34.61552429,-133.6556549,-6.618569374,-0.221852541,-6.427587032,-1.3381145,34.71295547,-81.10516357
3301,2150642499,-158.4197388,35.47281265,-132.8645935,-0.571897209,-5.546810627,-7.19571209,101.0153809,-60.96210861,-16.39192581
3302,2150659166,-157.4751282,37.06321335,-133.1167755,-3.0210042,0.303899527,1.878557205,66.98558807,-83.0405426,49.1138382
3303,2150675833,-156.7272644,39.08012009,-133.324173,-3.988598347,6.665620804,2.325635672,53.8955574,-106.844841,58.08188629
3304,2150692500,-157.1791687,41.30034637,-133.0866394,-2.373617649,5.990476608,1.524056792,-34.94181442,-126.0150146,44.09635544
3305,2150709167,-158.6678314,43.84581757,-133.0875702,-1.744352698,3.022167206,1.974875331,-87.89638519,-140.6903534,59.39906693
3306,2150725834,-160.4317017,46.51166916,-133.3950653,-2.021470308,1.239416003,2.458142519,-91.35245514,-144.4954071,70.03403473
3307,2150742501,-162.5543823,49.29613876,-134.0854187,-4.722747326,1.912859321,1.633554935,-95.2256546,-148.7787933,81.32523346
3308,2150759168,-165.1803436,52.57818985,-135.1092682,-7.205402374,2.479079247,-0.072639331,-108.4370575,-177.5674133,93.8694458
3309,2150775835,-168.4505463,56.48172379,-136.5690613,-8.919913292,2.527425528,-1.333415627,-123.4153748,-215.5895386,104.8748627
3310,2150792502,-172.5509186,60.92518616,-138.8513336,-10.24682903,1.800075889,-2.788544416,-127.4775314,-250.3172607,116.1303101
3311,2150809169,-177.9134979,65.90335846,-142.859848,-11.26268387,1.357783318,-2.477548122,-105.0101852,-287.6934509,134.0531158
3312,2150825836,173.9096375,70.96292114,-150.1819153,-11.47547817,1.781261444,-2.281602621,-80.13626099,-307.5794373,152.7227478
3313,2150842503,160.3855438,75.22144318,-163.1202393,-13.12476254,3.812903881,-2.534476995,-66.50580597,-296.8487854,165.2097015
3314,2150859170,138.3504639,77.95501709,175.6712189,-15.45314217,5.079439163,-3.04595089,-81.75875854,-287.500946,172.409256
3315,2150875837,110.5294876,78.17385101,148.8939819,-17.98755646,5.877030849,-3.856586933,-94.70310974,-278.0297546,177.6929321
