PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
2968,1524212172,116.0747528,-29.93190384,36.55875015,8.320302963,11.80661488,-5.066195011,-2.247766495,46.65380859,36.3057785
2969,1524228839,115.8339462,-30.64223099,37.0815773,8.346661568,12.60878086,-4.980787277,3.117490768,42.11762619,27.96844482
2970,1524245506,115.5039902,-31.00161743,37.75634384,7.5638237,11.66454029,-5.374956131,2.698313236,39.78474045,5.877378941
2971,1524262173,115.1909332,-30.91340256,38.63576508,6.807197571,9.843430519,-6.150733948,10.11309242,37.73867035,-22.65055466
2972,1524278840,115.1084824,-30.38146973,39.62122726,6.157447815,9.038624763,-6.7238307,26.93796158,31.59063339,-48.99991226
2973,1524295507,115.1632919,-29.48343468,40.62640762,5.677830219,9.584162712,-6.49854517,35.11310959,23.53327942,-69.46509552
2974,1524312174,115.0230484,-28.34764481,41.55714035,5.219284534,10.74649429,-5.836882591,20.31248474,14.46892929,-80.92591095
2975,1524328841,114.6013947,-27.03451729,42.30941772,4.536461353,11.60947037,-5.103172302,-2.592810392,2.326539993,-86.76433563
2976,1524345508,113.932785,-25.50266457,42.86978531,3.576821566,12.06137562,-4.888721943,-23.49475479,-11.16243744,-94.65763092
2977,1524362175,113.0411377,-23.6736908,43.34952927,2.657738924,12.27080441,-5.371945858,-39.76906586,-20.5851059,-109.5506821
2978,1524378842,111.8474579,-21.44612503,43.86484909,1.74734664,12.4925251,-5.376471519,-57.99250031,-25.47577477,-132.8986664
2979,1524395509,110.1348419,-18.77494431,44.42383194,1.241170168,12.67041779,-5.100922108,-89.4381485,-28.8130722,-159.3839874
2980,1524412176,107.5947037,-15.61411667,45.19886017,0.961356997,13.40935802,-4.32796669,-136.8485718,-20.06756973,-192.2915649
2981,1524428843,104.2244415,-12.09818554,46.22346497,1.080927968,13.44077396,-3.158030272,-185.6442719,-1.175763607,-217.7063599
2982,1524445510,100.3253632,-8.48095417,47.44078445,1.392349005,11.84965706,-1.883726478,-219.0297241,23.35896111,-225.8213654
2983,1524462177,96.35106659,-4.645760059,48.7144165,1.177284479,11.71432781,-1.298400044,-227.8407898,41.04649353,-237.1555023
2984,1524478844,92.27379608,-0.695335448,50.20286179,1.760200977,11.2760849,-0.845009208,-238.5871124,70.44998932,-241.5235443
2985,1524495511,88.31536865,3.387833595,51.79087448,1.812839866,10.62769508,0.114235431,-237.8559875,93.31820679,-243.9308929
2986,1524512178,84.78382111,7.449474812,53.52248764,1.273800135,9.160171509,-0.326397508,-219.8359985,117.2311935,-235.4746552
2987,1524528845,81.95915222,11.36380291,55.27205658,0.959190547,8.259333611,-0.892744541,-184.802948,129.2790375,-219.7662354
2988,1524545512,80.0074234,14.99120808,57.1049118,1.406112432,6.319001675,-1.222108364,-140.3762207,139.1296387,-196.5998535
2989,1524562179,79.23749542,18.320364,59.03775024,0.614575028,4.75061512,-1.608131766,-77.67605591,144.5047607,-174.8985443
2990,1524578846,79.54712677,21.30913544,61.094944,0.145945027,4.988649845,-1.092535138,-21.52716255,146.3590546,-153.3213654
2991,1524595513,80.57388306,23.81921005,63.11797714,-0.206379086,6.248232365,-0.490935326,16.7567749,135.5881958,-127.446785
2992,1524612180,81.71813965,25.85108185,64.91777802,-0.330904096,6.661701679,-0.058531038,25.0367527,114.760498,-103.8437424
2993,1524628847,82.7818985,27.51243782,66.46507263,-0.95468998,6.757629871,0.387759864,23.88885689,94.78117371,-86.06874847
2994,1524645514,83.71839905,28.83860016,67.73191833,-1.038915515,7.442987919,0.662616551,22.06342697,75.0214386,-69.6387558
2995,1524662181,84.40829468,29.9114418,68.82762909,-1.173106074,8.006798744,1.15992713,10.92289257,62.75214005,-56.60784531
2996,1524678848,84.96212769,30.8134861,69.89105225,-1.655961275,8.186292648,1.249957323,2.770427942,58.93055725,-47.30950546
2997,1524695515,85.3500824,31.59861374,70.92754364,-2.536079884,8.282073975,1.43158257,-7.139092445,56.06498718,-40.98016739
2998,1524712182,85.63014221,32.24452591,71.95446014,-3.577698946,8.707683563,1.821511507,-13.9582386,54.26042175,-33.06198502
2999,1524728849,85.92684174,32.69846725,72.98605347,-4.548410892,8.312613487,1.596980095,-13.60072231,53.1561203,-21.86295509
3000,1524745516,86.51548004,33.02355194,74.01661682,-5.086112499,7.68984127,1.246301651,3.602911949,52.18766785,-14.58419704
3001,1524762183,87.44509125,33.24352646,75.00287628,-5.299918175,7.724432945,1.358974814,25.26688957,49.25843811,-9.111429214
