PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
1172,4152760843,-36.65228271,38.86312866,27.63337326,-7.421154022,-2.510436058,3.597685575,38.0494957,84.14956665,66.61501312
1173,4152777510,-35.87823105,40.81968307,27.80693054,-8.226765633,-2.712204456,4.059026241,41.17543793,89.45477295,76.56155396
1174,4152794177,-34.86156082,42.88930511,28.14802933,-9.115048409,-2.714209795,4.569723129,48.74452591,91.95639038,84.98936462
1175,4152810844,-33.61983871,45.06015015,28.69792747,-10.80251026,-2.560013771,4.590585709,52.99460602,93.83287048,93.59049225
1176,4152827511,-32.2128334,47.33178711,29.55578613,-13.00940514,-2.191693544,4.140222073,48.66511917,94.56085968,104.6479645
1177,4152844178,-30.81069756,49.69955444,30.80137634,-14.6906414,-1.491526604,3.357700586,29.55742264,94.73989868,117.1121445
1178,4152860845,-29.67046928,52.08607864,32.47200394,-14.39057827,-0.954277694,3.143051863,-7.949611187,91.34318542,127.3818283
1179,4152877512,-29.1133194,54.40994263,34.35859299,-11.99878979,-0.731714666,3.384168386,-55.83778381,87.71278381,128.0805664
1180,4152894179,-29.28401947,56.61772919,36.16963577,-9.985501289,-1.2171942,3.936995029,-98.38193512,85.08312988,118.9726181
1181,4152910846,-29.81026459,58.63747406,37.75538635,-9.042381287,-2.332598448,4.790532112,-110.475441,79.77703094,104.7044601
1182,4152927513,-30.21062088,60.44058228,39.0628891,-9.057492256,-3.20285511,5.033669949,-90.19932556,73.2647934,89.18323517
1183,4152944180,-30.0093441,62.0616684,40.26891708,-9.734176636,-3.73399663,4.546794415,-49.9305191,66.15628052,79.5424118
1184,4152960847,-28.95960999,63.53648376,41.58013535,-10.55040073,-3.713832617,3.894673109,-5.550471306,58.80128479,75.49698639
1185,4152977514,-27.3163166,64.87526703,43.1074791,-11.35616112,-3.213820696,3.274360657,17.5256424,51.49993134,73.6902771
1186,4152994181,-25.34483337,66.07322693,44.93399811,-11.58268452,-2.465117693,2.848438501,20.01763344,43.70588303,73.30215454
1187,4153010848,-23.53622627,67.13006592,47.02661514,-11.06083298,-1.293604374,2.779366016,-5.26137352,36.56106567,72.27214813
1188,4153027515,-22.42707062,68.04018402,49.21216583,-10.15914345,-0.524776638,2.8570261,-53.23602676,30.20494843,68.00392914
1189,4153044182,-22.33218765,68.82475281,51.2605896,-8.967028618,-0.535575509,2.910850763,-107.1575317,25.78556442,60.34797287
1190,4153060849,-23.06493378,69.50236511,53.06346893,-8.360638618,-1.640629411,2.947451591,-143.6148987,22.12526512,51.83485031
1191,4153077516,-24.30733681,70.11526489,54.6004982,-7.795490742,-2.334429741,2.911974192,-159.6402588,20.36244965,44.56774139
1192,4153094183,-25.77657509,70.69996643,55.88101578,-7.674582958,-3.239912033,2.902643681,-159.0938416,20.35589027,38.84183502
